[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.001) SELECT `ozio_transaction`.`id`, `ozio_transaction`.`date`, `ozio_transaction`.`amount`, `ozio_transaction`.`info`, `ozio_transaction`.`original_info`, `ozio_transaction`.`source_file_id`, `ozio_transaction`.`keyword_id` FROM `ozio_transaction` ORDER BY `ozio_transaction`.`date` ASC; args=()
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 15 ; args=(15,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.001) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.001) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.001) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 16 ; args=(16,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_keyword`.`id`, `ozio_keyword`.`keyword`, `ozio_keyword`.`type_id`, `ozio_keyword`.`cate_id`, `ozio_keyword`.`sub_cate_id`, `ozio_keyword`.`priority`, `ozio_keyword`.`description` FROM `ozio_keyword`; args=()
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.002) SELECT `ozio_type`.`id`, `ozio_type`.`type_text`, `ozio_type`.`span_days`, `ozio_type`.`description` FROM `ozio_type` WHERE `ozio_type`.`id` = 3 ; args=(3,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.001) SELECT `ozio_cate`.`id`, `ozio_cate`.`cate_text`, `ozio_cate`.`description` FROM `ozio_cate` WHERE `ozio_cate`.`id` = 2 ; args=(2,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_type`.`id`, `ozio_type`.`type_text`, `ozio_type`.`span_days`, `ozio_type`.`description` FROM `ozio_type` WHERE `ozio_type`.`id` = 3 ; args=(3,)
[10/Apr/2014 17:53:54] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_cate`.`id`, `ozio_cate`.`cate_text`, `ozio_cate`.`description` FROM `ozio_cate` WHERE `ozio_cate`.`id` = 2 ; args=(2,)
[10/Apr/2014 17:54:28] DEBUG [django.db.backends:79] (0.001) SELECT `ozio_transaction`.`id`, `ozio_transaction`.`date`, `ozio_transaction`.`amount`, `ozio_transaction`.`info`, `ozio_transaction`.`original_info`, `ozio_transaction`.`source_file_id`, `ozio_transaction`.`keyword_id` FROM `ozio_transaction` ORDER BY `ozio_transaction`.`date` ASC; args=()
[10/Apr/2014 17:54:28] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 15 ; args=(15,)
