[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-03'  AND `ozio_transaction`.`amount` = -67.880000  AND `ozio_transaction`.`original_info` = 'COLES PARRAMATTA0896 PARRAMATTA NS AUS Card xx1940 Value Date: 03/03/2014 Balance:+2202.32\r' ); args=('2014-03-03', -67.88, 'COLES PARRAMATTA0896 PARRAMATTA NS AUS Card xx1940 Value Date: 03/03/2014 Balance:+2202.32\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-01'  AND `ozio_transaction`.`amount` = -9.950000  AND `ozio_transaction`.`original_info` = 'PAYPAL *FUNGCALVIN 4029357733 AU AUS Card xx1940 Value Date: 01/03/2014 Balance:+2270.20\r' ); args=('2014-03-01', -9.95, 'PAYPAL *FUNGCALVIN 4029357733 AU AUS Card xx1940 Value Date: 01/03/2014 Balance:+2270.20\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-03'  AND `ozio_transaction`.`amount` = -22.000000  AND `ozio_transaction`.`original_info` = 'TARGET 144 PARRAMATTA NS AUS Card xx1940 Value Date: 03/03/2014 Balance:+2280.15\r' ); args=('2014-03-03', -22.0, 'TARGET 144 PARRAMATTA NS AUS Card xx1940 Value Date: 03/03/2014 Balance:+2280.15\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-01'  AND `ozio_transaction`.`amount` = -3.980000  AND `ozio_transaction`.`original_info` = 'WOOLWORTHS W1106 PARRAMATTA  AUS Card xx1940 Value Date: 01/03/2014 Balance:+2302.15\r' ); args=('2014-03-01', -3.98, 'WOOLWORTHS W1106 PARRAMATTA  AUS Card xx1940 Value Date: 01/03/2014 Balance:+2302.15\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.001) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-03'  AND `ozio_transaction`.`amount` = -15.820000  AND `ozio_transaction`.`original_info` = 'TONG LI SUPERMARKETQPS PARRAMATTA  AUS Card xx1940 Value Date: 03/03/2014 Balance:+2306.13\r' ); args=('2014-03-03', -15.82, 'TONG LI SUPERMARKETQPS PARRAMATTA  AUS Card xx1940 Value Date: 03/03/2014 Balance:+2306.13\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-03'  AND `ozio_transaction`.`amount` = -13.950000  AND `ozio_transaction`.`original_info` = 'TONG LI SUPERMARKETQPS PARRAMATTA  AUS Card xx1940 Value Date: 03/03/2014 Balance:+2321.95\r' ); args=('2014-03-03', -13.95, 'TONG LI SUPERMARKETQPS PARRAMATTA  AUS Card xx1940 Value Date: 03/03/2014 Balance:+2321.95\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 2 ; args=(2,)
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.001) INSERT INTO `ozio_transaction` (`date`, `amount`, `info`, `original_info`, `source_file_id`, `keyword_id`) VALUES ('2014-03-03', -13.950000, 'TONG LI SUPERMARKETQPS PARRAMATTA AUS CARD XX1940 ', 'TONG LI SUPERMARKETQPS PARRAMATTA  AUS Card xx1940 Value Date: 03/03/2014 Balance:+2321.95\r', 2, NULL); args=['2014-03-03', -13.95, 'TONG LI SUPERMARKETQPS PARRAMATTA AUS CARD XX1940 ', 'TONG LI SUPERMARKETQPS PARRAMATTA  AUS Card xx1940 Value Date: 03/03/2014 Balance:+2321.95\r', 2, None]
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.001) SELECT COUNT(*) FROM `ozio_transaction` WHERE (`ozio_transaction`.`date` = '2014-03-03'  AND `ozio_transaction`.`amount` = 2000.000000  AND `ozio_transaction`.`original_info` = 'Transfer from SHUQIN ZENG NetBank for pigpig Balance:+2335.90\r' ); args=('2014-03-03', 2000.0, 'Transfer from SHUQIN ZENG NetBank for pigpig Balance:+2335.90\r')
[17/Apr/2014 16:17:40] DEBUG [django.db.backends:79] (0.000) SELECT `ozio_sourcefile`.`id`, `ozio_sourcefile`.`file_name`, `ozio_sourcefile`.`import_time`, `ozio_sourcefile`.`local_link` FROM `ozio_sourcefile` WHERE `ozio_sourcefile`.`id` = 2 ; args=(2,)
